# Version 1.00
#
freq[Hz],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
9.534196384953590E+009,-7.301203388750047E-003,7.010618569422619E-002,-5.404035810562220E+001,-2.612806704342032E+001,-2.303802254412361E+001,-1.939796443140510E+001,-5.404035810562220E+001,-1.636124486455847E+001,
9.535417684416220E+009,-3.422060851822591E-003,6.988265987626915E-002,-5.149043765068847E+001,-2.605536791234628E+001,-2.310220985094685E+001,-1.951575114958984E+001,-5.149043765068847E+001,-1.662031321665291E+001,
9.536638983878847E+009,-8.662138319032736E-004,6.940062093258329E-002,-5.536439669579566E+001,-4.221414471981397E+001,-2.317205636758716E+001,-2.184403210615956E+001,-5.536439669579566E+001,-1.941958800939007E+001,
9.537860283341475E+009,3.166418030721319E-003,6.919277747066391E-002,-5.988389854606606E+001,-3.203728564759062E+001,-2.318969930179367E+001,-1.830966554278792E+001,-5.988389854606606E+001,-1.937335119745233E+001,
9.539081582804104E+009,5.925405536727536E-003,6.799420010207818E-002,-6.923024711265779E+001,-2.690203033747868E+001,-2.331770524756839E+001,-2.245159695977732E+001,-6.923024711265779E+001,-2.421792617453529E+001,
9.540302882266731E+009,9.289442725815918E-003,6.768135335058362E-002,-6.229542255615028E+001,-3.211470895551123E+001,-2.330956677410347E+001,-2.178751613507926E+001,-6.229542255615028E+001,-2.018969126421566E+001,
9.541524181729361E+009,1.272519170182052E-002,6.652803778352950E-002,-5.448086255463777E+001,-2.659566410866416E+001,-2.338385080309868E+001,-2.285768629288061E+001,-5.448086255463777E+001,-2.558065391838695E+001,
9.542745481191988E+009,1.602181000132763E-002,6.514416932719434E-002,-6.024770219873184E+001,-3.976739063858091E+001,-2.346742978817298E+001,-2.264858404044513E+001,-6.024770219873184E+001,-2.847690111184953E+001,
9.543966780654617E+009,1.891635706997144E-002,6.361469050424756E-002,-6.157881747547097E+001,-3.059159196358018E+001,-2.356087864672645E+001,-2.158060612757354E+001,-6.157881747547097E+001,-2.480621043338403E+001,
9.545188080117245E+009,2.198675038241853E-002,6.189070694293187E-002,-5.790153636212480E+001,-2.915114895058001E+001,-2.365132262245416E+001,-2.183968257339099E+001,-5.790153636212480E+001,-2.147798696925328E+001,
9.546409379579872E+009,2.468589611116449E-002,6.032094662559366E-002,-5.509546761155477E+001,-2.946950399695931E+001,-2.371814462562073E+001,-2.119903060572239E+001,-5.509546761155477E+001,-2.173283790313249E+001,
9.547630679042501E+009,2.792920083814277E-002,5.889156612804258E-002,-6.000860662171991E+001,-3.249182722731298E+001,-2.371789236667182E+001,-2.117223567853925E+001,-6.000860662171991E+001,-1.840225445615008E+001,
9.548851978505129E+009,2.999779693263262E-002,5.651838016041814E-002,-6.047207494094664E+001,-3.043477885609368E+001,-2.387831464038707E+001,-2.003471125439987E+001,-6.047207494094664E+001,-1.830296214478617E+001,
9.550073277967758E+009,3.223799673566635E-002,5.465204330648927E-002,-5.743119298963862E+001,-2.503877594363647E+001,-2.395111745536082E+001,-2.190626319858085E+001,-5.743119298963862E+001,-1.819099623294871E+001,
9.551294577430386E+009,3.523779356849470E-002,5.168919931155715E-002,-6.144905691957111E+001,-3.189344937455135E+001,-2.407437389463296E+001,-2.253408652176536E+001,-6.144905691957111E+001,-1.902344460872125E+001,
9.552515876893015E+009,3.751732025467941E-002,4.907929168450544E-002,-5.967830576062836E+001,-3.510006087952359E+001,-2.418354512100326E+001,-2.346960019653371E+001,-5.967830576062836E+001,-1.676474079116605E+001,
9.553737176355642E+009,3.958163544488831E-002,4.663239730266623E-002,-5.692571299224500E+001,-2.992647807780243E+001,-2.426979051414373E+001,-2.209630674489142E+001,-5.692571299224500E+001,-1.974024545853560E+001,
9.554958475818270E+009,4.211226510098243E-002,4.403325801990745E-002,-5.532813957038206E+001,-2.916784484594249E+001,-2.430348665566324E+001,-2.226335851335359E+001,-5.532813957038206E+001,-2.260687187848237E+001,
9.556179775280899E+009,4.348789885841328E-002,4.083934876189450E-002,-5.729544663280085E+001,-4.446144462065578E+001,-2.448665940651128E+001,-2.387831847142854E+001,-5.729544663280085E+001,-2.237050512668118E+001,
9.557401074743527E+009,4.501141322608367E-002,3.798305191490507E-002,-5.663203868959680E+001,-3.485618057335922E+001,-2.459828307473115E+001,-2.435588610156427E+001,-5.663203868959680E+001,-2.564562300104891E+001,
9.558622374206156E+009,4.670454896026902E-002,3.500117298919581E-002,-5.572645094849538E+001,-3.966590448583590E+001,-2.467704737851270E+001,-2.267566141536689E+001,-5.572645094849538E+001,-2.622705203645337E+001,
9.559843673668783E+009,4.736846240742035E-002,3.128257107759726E-002,-6.422906941683695E+001,-3.187738722437279E+001,-2.491824529113396E+001,-2.146116390486784E+001,-6.422906941683695E+001,-2.976556150809177E+001,
9.561064973131413E+009,4.909541576491704E-002,2.826482517391519E-002,-5.862899268646439E+001,-2.836579591937417E+001,-2.493595070988070E+001,-2.376159194177650E+001,-5.862899268646439E+001,-2.442519095391791E+001,
9.562286272594040E+009,5.003460954363582E-002,2.508468388961856E-002,-6.112452125574065E+001,-3.391889518711109E+001,-2.504080705207036E+001,-2.477680688092439E+001,-6.112452125574065E+001,-2.389962574440332E+001,
9.563507572056669E+009,5.051599007966148E-002,2.175559017748765E-002,-5.928062484032572E+001,-3.192934498200062E+001,-2.519250077577628E+001,-2.415395818872760E+001,-5.928062484032572E+001,-2.099286216336442E+001,
9.564728871519297E+009,5.142911594379868E-002,1.843995678333573E-002,-6.173319493044237E+001,-3.420743648671247E+001,-2.525057705369638E+001,-2.365742481964544E+001,-6.173319493044237E+001,-2.004324644671214E+001,
9.565950170981924E+009,5.139421421908149E-002,1.492590681316603E-002,-6.249088090962955E+001,-2.803050226795572E+001,-2.543004552025825E+001,-2.364953617044560E+001,-6.249088090962955E+001,-1.918599207832737E+001,
9.567171470444553E+009,5.143490976179106E-002,1.145327406947980E-002,-5.744919704713655E+001,-3.484286335001381E+001,-2.556466749648910E+001,-2.418368946476285E+001,-5.744919704713655E+001,-1.807613432556363E+001,
9.568392769907181E+009,5.170802764839071E-002,7.995573309473820E-003,-5.897628202570431E+001,-3.565067177137841E+001,-2.562622184380405E+001,-2.187910423894218E+001,-5.897628202570431E+001,-1.793858048982688E+001,
9.569614069369810E+009,5.088133231343522E-002,4.766795126139950E-003,-5.995126535760745E+001,-3.870520164914883E+001,-2.583087966502353E+001,-2.460314174903469E+001,-5.995126535760745E+001,-2.102745571665356E+001,
9.570835368832438E+009,5.106505009362825E-002,9.663567496839043E-004,-8.218842626264096E+001,-3.154221133682220E+001,-2.583596974154229E+001,-2.449244616510477E+001,-8.218842626264096E+001,-1.992152256194309E+001,
9.572056668295067E+009,5.048296551875682E-002,-2.000090941262557E-003,-6.990521340150794E+001,-2.758412340594999E+001,-2.593029115775978E+001,-2.302612434943739E+001,-6.990521340150794E+001,-2.006083901396502E+001,
9.573277967757694E+009,4.917376687706383E-002,-6.111512783253320E-003,-6.267141306295163E+001,-3.943334884274196E+001,-2.609875990840603E+001,-2.573078784884488E+001,-6.267141306295163E+001,-2.520870863311535E+001,
9.574499267220322E+009,4.824681518769066E-002,-9.150490067026467E-003,-7.010402969131212E+001,-3.346658047552502E+001,-2.617715139032076E+001,-2.511129465375511E+001,-7.010402969131212E+001,-2.749264837107943E+001,
9.575720566682951E+009,4.724543906561765E-002,-1.234815179989996E-002,-6.130020961660190E+001,-2.930125308516707E+001,-2.622582936842770E+001,-2.487136624695679E+001,-6.130020961660190E+001,-3.078069969931663E+001,
9.576941866145578E+009,4.508756579764866E-002,-1.550644503141358E-002,-6.470882576416250E+001,-3.634371952843021E+001,-2.643335906963894E+001,-2.528827395465336E+001,-6.470882576416250E+001,-2.596459020735102E+001,
9.578163165608208E+009,4.333771313856192E-002,-1.884711745463266E-002,-5.534297251366281E+001,-3.620012848980613E+001,-2.651039085326357E+001,-2.789399119106366E+001,-5.534297251366281E+001,-2.488133220377727E+001,
9.579384465070835E+009,4.222323740060103E-002,-2.172578488275882E-002,-5.816004854008331E+001,-3.760722245086224E+001,-2.646889757823216E+001,-2.719524538948000E+001,-5.816004854008331E+001,-2.280887337696344E+001,
9.580605764533464E+009,4.005663343095715E-002,-2.447331207700932E-002,-7.301839390734004E+001,-4.621694836457400E+001,-2.656891500817534E+001,-2.712869348957023E+001,-7.301839390734004E+001,-2.143252083217958E+001,
9.581827063996092E+009,3.750029561119787E-002,-2.695377562830743E-002,-6.347413262768323E+001,-3.380826181908738E+001,-2.671054308730398E+001,-2.698045833510246E+001,-6.347413262768323E+001,-1.892154610608664E+001,
9.583048363458719E+009,3.543895195825414E-002,-2.943503839231924E-002,-6.102497021595940E+001,-3.530960133300005E+001,-2.673184876733298E+001,-2.776668334211604E+001,-6.102497021595940E+001,-1.927977888003392E+001,
9.584269662921349E+009,3.254810342874610E-002,-3.151521692739262E-002,-5.933585884001111E+001,-2.987244101120836E+001,-2.687698228227735E+001,-2.642376876087948E+001,-5.933585884001111E+001,-1.790891381794262E+001,
9.585490962383976E+009,2.953773981313381E-002,-3.396267321983780E-002,-6.722778737841124E+001,-3.367187130118657E+001,-2.693373153804262E+001,-2.717155517912177E+001,-6.722778737841124E+001,-1.812282041378687E+001,
9.586712261846605E+009,2.763425419804948E-002,-3.598067573762172E-002,-5.971451793955587E+001,-3.390213809496326E+001,-2.686499548231218E+001,-2.752071392656120E+001,-5.971451793955587E+001,-1.896317963650914E+001,
9.587933561309233E+009,2.483126348498452E-002,-3.762665634180556E-002,-6.310977808518823E+001,-4.236629953041098E+001,-2.692000020773059E+001,-2.624312051385622E+001,-6.310977808518823E+001,-2.193172942311259E+001,
9.589154860771862E+009,2.203512562069265E-002,-3.907766436352157E-002,-8.014211945964328E+001,-3.175598539092705E+001,-2.696240241447395E+001,-2.552129151075498E+001,-8.014211945964328E+001,-2.278879238027686E+001,
9.590376160234489E+009,1.943714955744281E-002,-4.119321635362271E-002,-9.037688215327023E+001,-3.502719446444610E+001,-2.683048072373051E+001,-2.586328099309634E+001,-9.037688215327023E+001,-2.499142373082684E+001,
9.591597459697117E+009,1.650649481785325E-002,-4.327020082719484E-002,-7.144445616785224E+001,-2.924724510169265E+001,-2.668618331943764E+001,-2.437264188615297E+001,-7.144445616785224E+001,-2.551765708510889E+001,
9.592818759159746E+009,1.314749771480514E-002,-4.480955902495904E-002,-6.491406616514152E+001,-2.806187705250190E+001,-2.661393466405776E+001,-2.581400580527490E+001,-6.491406616514152E+001,-2.962871041198957E+001,
9.594040058622374E+009,9.888347535230524E-003,-4.593482759539366E-002,-6.435188936332702E+001,-4.543847368847187E+001,-2.656042670222540E+001,-2.713635971893229E+001,-6.435188936332702E+001,-3.267415287399970E+001,
9.595261358085003E+009,5.724124733866917E-003,-4.654454037768845E-002,-6.666671194657404E+001,-3.956418143521890E+001,-2.657743203388838E+001,-2.713601604208165E+001,-6.666671194657404E+001,-2.400959723481022E+001,
9.596482657547630E+009,2.656036591170324E-003,-4.692774634608925E-002,-6.353506268663524E+001,-3.774339113597171E+001,-2.655751616092139E+001,-2.562569283088193E+001,-6.353506268663524E+001,-2.287558697863037E+001,
9.597703957010260E+009,-1.111307662628068E-003,-4.775106476908167E-002,-7.196875717866293E+001,-4.402897530538145E+001,-2.641798716735067E+001,-2.634268629552050E+001,-7.196875717866293E+001,-1.936411849694526E+001,
9.598925256472887E+009,-4.826308890840792E-003,-4.800421931411748E-002,-7.241060538085904E+001,-3.724356765573685E+001,-2.633073305094694E+001,-2.553223490012298E+001,-7.241060538085904E+001,-2.009274453859029E+001,
9.600146555935515E+009,-8.304448722775457E-003,-4.814360777228737E-002,-6.391042356467989E+001,-3.178613191997200E+001,-2.622189277098820E+001,-2.522779686532656E+001,-6.391042356467989E+001,-2.080587954289188E+001,
9.601367855398144E+009,-1.248482426548448E-002,-4.697895423752853E-002,-6.577554042195554E+001,-3.070580104890583E+001,-2.626555948292851E+001,-2.640516161694804E+001,-6.577554042195554E+001,-1.788605535033038E+001,
9.602589154860771E+009,-1.544954760928501E-002,-4.727017287330283E-002,-6.016025073363679E+001,-3.807948265306137E+001,-2.606748178746591E+001,-2.381206313785086E+001,-6.016025073363679E+001,-2.013458445825762E+001,
9.603810454323401E+009,-1.916145661833223E-002,-4.599578117329590E-002,-7.155873930806671E+001,-3.479108166340230E+001,-2.605062932750934E+001,-2.426296105931637E+001,-7.155873930806671E+001,-2.085879431788365E+001,
9.605031753786028E+009,-2.228494486303582E-002,-4.569559021519148E-002,-7.667678067501372E+001,-3.096660127351419E+001,-2.587588893945352E+001,-2.576657642838446E+001,-7.667678067501372E+001,-2.298137351399288E+001,
9.606253053248657E+009,-2.644067585541398E-002,-4.401323147725073E-002,-6.621939869060009E+001,-3.513563561248862E+001,-2.579009472506903E+001,-2.435041046060691E+001,-6.621939869060009E+001,-2.288225875915205E+001,
9.607474352711285E+009,-2.946233235489437E-002,-4.392863222734064E-002,-6.493059613896129E+001,-3.558785565902251E+001,-2.553190512365557E+001,-2.504145840654048E+001,-6.493059613896129E+001,-2.695244504971398E+001,
9.608695652173914E+009,-3.254638102195968E-002,-4.232368632113968E-002,-6.572810991190130E+001,-4.261476870504556E+001,-2.545069608944755E+001,-2.439442333272779E+001,-6.572810991190130E+001,-2.782409628461991E+001,
9.609916951636541E+009,-3.622107409894345E-002,-4.069370781416744E-002,-6.065945382275265E+001,-3.293435782802012E+001,-2.527544288260913E+001,-2.544045928597296E+001,-6.065945382275265E+001,-3.177934285267815E+001,
9.611138251099169E+009,-3.913684811960423E-002,-3.886902622597811E-002,-7.323298393375903E+001,-3.351542421336188E+001,-2.516770258064812E+001,-2.472238201745103E+001,-7.323298393375903E+001,-2.637334046476267E+001,
9.612359550561798E+009,-4.188316599214924E-002,-3.698176546652285E-002,-6.669587635566154E+001,-3.763774383436708E+001,-2.505587888570230E+001,-2.595040065893558E+001,-6.669587635566154E+001,-2.607144202815988E+001,
9.613580850024426E+009,-4.430679994920693E-002,-3.488253605172256E-002,-6.703929744346797E+001,-3.303862310553305E+001,-2.497588743916581E+001,-2.474972315155972E+001,-6.703929744346797E+001,-2.213344526989007E+001,
9.614802149487055E+009,-4.767090983588405E-002,-3.305456366471608E-002,-7.153277943179008E+001,-5.161286620247003E+001,-2.472999467005634E+001,-2.629556300418894E+001,-7.153277943179008E+001,-2.246394751565047E+001,
9.616023448949682E+009,-5.007013615029827E-002,-3.049992792866198E-002,-6.839176153469187E+001,-3.203698051373544E+001,-2.463787093069290E+001,-2.517298990509381E+001,-6.839176153469187E+001,-1.993429837007021E+001,
9.617244748412312E+009,-5.238164797948571E-002,-2.814201996330705E-002,-6.582077095111360E+001,-3.716319127712281E+001,-2.451511039385084E+001,-2.451577139774773E+001,-6.582077095111360E+001,-1.923635771924302E+001,
9.618466047874939E+009,-5.520847774478684E-002,-2.558271609238333E-002,-6.253035044171728E+001,-2.836110379335696E+001,-2.431510636141256E+001,-2.558781394261945E+001,-6.253035044171728E+001,-1.954544200407265E+001,
9.619687347337566E+009,-5.681432724982174E-002,-2.269471156316158E-002,-6.360280493043263E+001,-3.354123302153123E+001,-2.426789720532375E+001,-2.565820403421870E+001,-6.360280493043263E+001,-2.168732861770932E+001,
9.620908646800196E+009,-5.903647430226747E-002,-1.931988502222915E-002,-7.486534948445599E+001,-4.357854775152541E+001,-2.413574375753840E+001,-2.566735556222180E+001,-7.486534948445599E+001,-2.397138974272698E+001,
9.622129946262823E+009,-6.050496187904857E-002,-1.643927994579239E-002,-6.601699887680185E+001,-3.816316412466997E+001,-2.405485871137435E+001,-2.629377134624714E+001,-6.601699887680185E+001,-2.179675515675930E+001,
9.623351245725452E+009,-6.267424010883768E-002,-1.350641302923921E-002,-6.709028622338387E+001,-3.565232558327049E+001,-2.386107083780555E+001,-2.534854716156188E+001,-6.709028622338387E+001,-2.411366005511728E+001,
9.624572545188080E+009,-6.462537981209014E-002,-9.964198900069837E-003,-6.621608472559437E+001,-3.475193308713271E+001,-2.368990237380605E+001,-2.607158464646459E+001,-6.621608472559437E+001,-3.158555799833248E+001,
9.625793844650709E+009,-6.513721477220723E-002,-6.966738365114630E-003,-6.447143393489924E+001,-4.700491176470113E+001,-2.367401793339563E+001,-2.694691191617345E+001,-6.447143393489924E+001,-3.044325032044811E+001,
9.627015144113337E+009,-6.676579248060358E-002,-2.996644829610754E-003,-6.988748157114357E+001,-3.403315262115756E+001,-2.350017986843924E+001,-2.666760002941036E+001,-6.988748157114357E+001,-3.606654475947451E+001,
9.628236443575964E+009,-6.756497545414900E-002,-3.138614397450534E-004,-6.727556121838613E+001,-3.151269157391774E+001,-2.340547381780569E+001,-2.679652576824473E+001,-6.727556121838613E+001,-4.477745594454073E+001,
9.629457743038593E+009,-6.801356571192577E-002,2.965259414969525E-003,-6.942329620327926E+001,-3.623354208061541E+001,-2.333984192698830E+001,-2.645742791537652E+001,-6.942329620327926E+001,-2.476721464568727E+001,
9.630679042501221E+009,-6.853406144831853E-002,6.899365040104470E-003,-6.619314313847949E+001,-3.540085817941552E+001,-2.323807826631857E+001,-2.841130839027014E+001,-6.619314313847949E+001,-2.533570401324698E+001,
9.631900341963850E+009,-6.886630577361702E-002,1.125924536477892E-002,-6.739015915045603E+001,-3.427060503414223E+001,-2.312530017921568E+001,-2.639500856656752E+001,-6.739015915045603E+001,-2.310724681735021E+001,
9.633121641426477E+009,-6.856726137646357E-002,1.465010910279989E-002,-6.385054262650046E+001,-3.283962044657028E+001,-2.308379730679447E+001,-2.773871628958452E+001,-6.385054262650046E+001,-2.303500070909424E+001,
9.634342940889107E+009,-6.827272360762177E-002,1.808701326346594E-002,-6.399919152654513E+001,-3.573202103579479E+001,-2.302047014447637E+001,-2.714082506988424E+001,-6.399919152654513E+001,-2.166103070094091E+001,
9.635564240351734E+009,-6.852813336348980E-002,2.152247948091524E-002,-7.159258917056354E+001,-5.336359522409452E+001,-2.287407350799907E+001,-2.522625679441071E+001,-7.159258917056354E+001,-2.084306072931274E+001,
9.636785539814362E+009,-6.750582443352915E-002,2.494174926558154E-002,-7.377583837922089E+001,-3.209555209179891E+001,-2.285743423457983E+001,-2.612291307252633E+001,-7.377583837922089E+001,-2.224643105538429E+001,
9.638006839276991E+009,-6.701593118876542E-002,2.871132011568314E-002,-6.470722264826659E+001,-3.387437601772483E+001,-2.274457925342366E+001,-2.699188399317204E+001,-6.470722264826659E+001,-2.221649212336816E+001,
9.639228138739618E+009,-6.564971740779417E-002,3.257673728714067E-002,-6.271784519637718E+001,-4.340479136556898E+001,-2.269934400101531E+001,-2.586868686425706E+001,-6.271784519637718E+001,-2.253433782128393E+001,
9.640449438202248E+009,-6.490991549705079E-002,3.516484392110241E-002,-6.797667882919517E+001,-4.309339498300300E+001,-2.263614384879019E+001,-2.611699696192531E+001,-6.797667882919517E+001,-2.692084807097507E+001,
9.641670737664875E+009,-6.401563901664208E-002,3.904653015924862E-002,-6.782136708203588E+001,-3.761306068936805E+001,-2.250060219836167E+001,-2.797320071677455E+001,-6.782136708203588E+001,-2.817152684270938E+001,
9.642892037127504E+009,-6.140716922132251E-002,4.209912400746354E-002,-7.656650945404549E+001,-5.010084971566317E+001,-2.256241279208669E+001,-2.600934973835956E+001,-7.656650945404549E+001,-3.641707321348690E+001,
9.644113336590132E+009,-6.016464739472750E-002,4.555179242655270E-002,-7.475140904617120E+001,-3.831484776279594E+001,-2.244525291781135E+001,-2.866504351787948E+001,-7.475140904617120E+001,-3.326643252716136E+001,
9.645334636052761E+009,-5.813719053937467E-002,4.780212615311615E-002,-7.439076826368297E+001,-3.847112566705398E+001,-2.246801911254140E+001,-2.864645561404420E+001,-7.439076826368297E+001,-3.510633581639701E+001,
9.646555935515389E+009,-5.580032693959956E-002,5.109463827972771E-002,-7.732151114082144E+001,-4.218951292133230E+001,-2.242274689209206E+001,-2.808811824802317E+001,-7.732151114082144E+001,-2.554461067235648E+001,
9.647777234978016E+009,-5.399712411928812E-002,5.443678098284130E-002,-6.839766841009507E+001,-3.616471224034458E+001,-2.230692658811459E+001,-3.067475974827725E+001,-6.839766841009507E+001,-2.493932507639554E+001,
9.648998534440645E+009,-5.112177908421819E-002,5.694568836420816E-002,-6.458405718188587E+001,-4.295340983873508E+001,-2.232380560850349E+001,-2.806614128354950E+001,-6.458405718188587E+001,-2.313744244948180E+001,
9.650219833903273E+009,-4.839734246458820E-002,5.931016285108742E-002,-7.528236752345032E+001,-4.824801383709315E+001,-2.232102519231523E+001,-2.859855364042159E+001,-7.528236752345032E+001,-2.243106529277022E+001,
9.651441133365902E+009,-4.605808983262897E-002,6.190689095372064E-002,-6.650550804990101E+001,-4.683013014389555E+001,-2.225204971443944E+001,-3.017377457957219E+001,-6.650550804990101E+001,-2.259566273987642E+001,
9.652662432828529E+009,-4.361684831741611E-002,6.344191920894568E-002,-6.407218648895520E+001,-3.671994546992545E+001,-2.227142609754120E+001,-2.882491134312222E+001,-6.407218648895520E+001,-2.197246752647974E+001,
9.653883732291159E+009,-4.008791894622276E-002,6.579801223036989E-002,-7.949559870954543E+001,-4.858838364343671E+001,-2.226475405386486E+001,-2.807260585532152E+001,-7.949559870954543E+001,-2.280231825434539E+001,
9.655105031753786E+009,-3.717471577730393E-002,6.792551680346992E-002,-7.387690605079955E+001,-3.275061943265371E+001,-2.222150303430498E+001,-2.782340960692667E+001,-7.387690605079955E+001,-2.268511482792160E+001,
